,Value,Date
189,-0.1073,2017-09-07
190,-0.7396,2017-09-08
191,-0.6363,2017-09-09
192,-0.3766,2017-09-10
193,-0.7395,2017-09-11
194,-1.383,2017-09-12
195,-1.2704,2017-09-13
196,-1.1582,2017-09-14
197,-1.4285,2017-09-15
198,-0.8659,2017-09-16
199,-0.0285,2017-09-17
200,-0.7306,2017-09-18
201,-1.5499,2017-09-19
202,-0.6956,2017-09-20
203,-0.1449,2017-09-21
204,-0.85,2017-09-22
205,-0.4037,2017-09-23
206,0.4498,2017-09-24
207,-0.754,2017-09-25
208,-0.0818,2017-09-26
209,-0.2932,2017-09-27
210,-0.1269,2017-09-28
211,-2.4645,2017-09-29
212,-1.2111,2017-09-30
213,-1.2626,2017-10-01
214,-0.493,2017-10-02
215,0.0613,2017-10-03
216,-1.9394,2017-10-04
217,-0.4069,2017-10-05
218,0.8138,2017-10-06
219,-0.4915,2017-10-07
220,-0.1307,2017-10-08
221,-0.3339,2017-10-09
222,-0.5753,2017-10-10
223,-0.8759,2017-10-11
224,-0.4611,2017-10-12
225,-0.3267,2017-10-13
226,-0.0584,2017-10-14
227,-0.5274,2017-10-15
228,-0.2824,2017-10-16
229,-1.0804,2017-10-17
230,-0.7361,2017-10-18
231,-1.0918,2017-10-19
232,-0.6859,2017-10-20
233,-0.9291,2017-10-21
234,-0.533,2017-10-22
235,-0.3628,2017-10-23
236,-0.0927,2017-10-24
237,-0.4246,2017-10-25
238,0.1319,2017-10-26
239,-0.1,2017-10-27
240,0.0693,2017-10-28
241,-0.3782,2017-10-29
242,-0.486,2017-10-30
243,-0.4387,2017-10-31
244,-0.3101,2017-11-01
245,-0.6048,2017-11-02
246,-0.8058,2017-11-03
247,-2.3534,2017-11-04
248,-0.8349,2017-11-05
249,-0.3468,2017-11-06
250,-0.0685,2017-11-07
251,-0.6736,2017-11-08
252,-0.5267,2017-11-09
253,-0.3918,2017-11-10
254,-0.5867,2017-11-11
255,-0.6633,2017-11-12
256,-1.2978,2017-11-13
257,-0.525,2017-11-14
258,-0.6141,2017-11-15
259,-0.1528,2017-11-16
260,-0.4782,2017-11-17
261,-0.5285,2017-11-18
262,-0.0984,2017-11-19
263,-0.041,2017-11-20
264,-3.4597,2017-11-21
265,-1.4237,2017-11-22
266,0.0894,2017-11-23
267,-0.22,2017-11-24
268,-0.1033,2017-11-25
269,-0.0837,2017-11-26
270,-0.656,2017-11-27
271,-0.3818,2017-11-28
272,-0.8397,2017-11-29
273,-0.8412,2017-11-30
274,-0.5931,2017-12-01
275,-0.5931,2017-12-02
276,-0.5931,2017-12-03
277,-1.2409,2017-12-04
278,-0.4848,2017-12-05
279,-1.3238,2017-12-06
280,-1.5172,2017-12-07
281,-0.9695,2017-12-08
282,-0.2099,2017-12-09
283,-0.6217,2017-12-10
284,-0.865,2017-12-11
285,-0.6091,2017-12-12
286,-1.3471,2017-12-13
287,-0.8834,2017-12-14
288,-1.936,2017-12-15
289,-1.076,2017-12-16
290,-0.5726,2017-12-17
291,-0.5986,2017-12-18
292,-1.9421,2017-12-19
293,-1.2384,2017-12-20
294,-0.6561,2017-12-21
295,-1.1141,2017-12-22
296,-1.4024,2017-12-23
297,-1.1893,2017-12-24
298,-0.6494,2017-12-25
299,-0.7486,2017-12-26
300,-0.6324,2017-12-27
301,-1.1375,2017-12-28
302,-1.3585,2017-12-29
303,-1.3361,2017-12-30
304,-0.8035,2017-12-31
305,-0.9533,2018-01-01
306,-0.7069,2018-01-02
307,-0.5379,2018-01-03
308,-0.7041,2018-01-04
309,-0.6998,2018-01-05
310,-0.7385,2018-01-06
311,-1.0306,2018-01-07
312,-0.6027,2018-01-08
313,-0.6916,2018-01-09
314,-0.3721,2018-01-10
315,-1.4309,2018-01-11
316,-0.981,2018-01-12
317,-1.1525,2018-01-13
318,-0.4068,2018-01-14
319,-0.8509,2018-01-15
320,-1.1962,2018-01-16
321,-1.2064,2018-01-17
322,-1.3859,2018-01-18
323,-0.8902,2018-01-19
324,-1.1331,2018-01-20
325,-0.3889,2018-01-21
326,-0.3405,2018-01-22
327,-0.8932,2018-01-23
328,-0.2469,2018-01-24
329,-0.3973,2018-01-25
330,-0.5934,2018-01-26
331,-1.5711,2018-01-27
332,-1.0075,2018-01-28
333,-1.4028,2018-01-29
334,-0.8523,2018-01-30
335,-1.1402,2018-01-31
336,-0.8642,2018-02-01
337,-0.8367,2018-02-02
338,-0.6583,2018-02-03
339,-0.2946,2018-02-04
340,-1.8593,2018-02-05
341,-1.7133,2018-02-06
342,-0.9839,2018-02-07
343,-0.7464,2018-02-08
344,-0.8166,2018-02-09
345,-1.1113,2018-02-10
346,-1.1058,2018-02-11
347,-1.185,2018-02-12
348,-0.7485,2018-02-13
349,-0.2073,2018-02-14
350,-0.8064,2018-02-15
351,-1.0502,2018-02-16
352,-2.7906,2018-02-17
353,-0.4099,2018-02-18
354,-0.2531,2018-02-19
355,-1.0007,2018-02-20
356,-0.8778,2018-02-21
357,-0.456,2018-02-22
358,-0.791,2018-02-23
359,-1.0104,2018-02-24
360,-0.5307,2018-02-25
361,-0.1237,2018-02-26
362,-0.5282,2018-02-27
363,-0.5796,2018-02-28
364,-0.7647,2018-03-01
365,-0.9154,2018-03-02
366,-0.6481,2018-03-03
367,-0.3706,2018-03-04
368,-0.3845,2018-03-05
369,-0.7948,2018-03-06
370,-0.5728,2018-03-07
371,-0.9283,2018-03-08
372,-0.4597,2018-03-09
373,-0.1827,2018-03-10
374,0.3442,2018-03-11
375,-0.7586,2018-03-12
376,-0.4787,2018-03-13
377,-0.8298,2018-03-14
378,-1.0092,2018-03-15
379,-0.3138,2018-03-16
380,-0.2729,2018-03-17
381,-0.1645,2018-03-18
382,-1.2309,2018-03-19
383,-1.06,2018-03-20
384,-0.5891,2018-03-21
385,-0.5332,2018-03-22
386,-0.9487,2018-03-23
387,-0.1027,2018-03-24
388,0.0813,2018-03-25
389,-0.9897,2018-03-26
390,-0.7111,2018-03-27
391,-0.5115,2018-03-28
392,-0.3571,2018-03-29
393,-0.681,2018-03-30
394,0.0372,2018-03-31
395,-0.4469,2018-04-01
396,-0.6238,2018-04-02
397,-0.9282,2018-04-03
398,-0.552,2018-04-04
399,-0.6211,2018-04-05
400,-0.9677,2018-04-06
401,-0.612,2018-04-07
402,-0.1989,2018-04-08
403,-0.6243,2018-04-09
404,-1.4628,2018-04-10
405,-0.1947,2018-04-11
406,-0.449,2018-04-12
407,-0.9832,2018-04-13
408,-0.0641,2018-04-14
409,0.0098,2018-04-15
410,0.0525,2018-04-16
411,-0.5894,2018-04-17
412,-1.1149,2018-04-18
413,-0.6989,2018-04-19
414,-0.4877,2018-04-20
415,-0.0484,2018-04-21
416,-0.0414,2018-04-22
417,-0.9284,2018-04-23
418,-0.3445,2018-04-24
419,-0.1938,2018-04-25
420,-0.1203,2018-04-26
421,-0.1472,2018-04-27
422,0.0124,2018-04-28
423,0.3054,2018-04-29
424,0.1531,2018-04-30
425,-0.0344,2018-05-01
426,-0.2547,2018-05-02
427,0.3828,2018-05-03
428,-0.0851,2018-05-04
429,-0.2415,2018-05-05
430,0.1255,2018-05-06
431,-0.1751,2018-05-07
432,0.0141,2018-05-08
433,0.3148,2018-05-09
434,0.4249,2018-05-10
435,-0.2657,2018-05-11
436,-0.2651,2018-05-12
437,-0.0013,2018-05-13
438,-0.4001,2018-05-14
439,-0.129,2018-05-15
440,0.0657,2018-05-16
441,-0.2352,2018-05-17
442,-0.3479,2018-05-18
443,-0.0755,2018-05-19
444,0.1926,2018-05-20
445,0.0662,2018-05-21
446,-0.4529,2018-05-22
447,0.1128,2018-05-23
448,-0.2797,2018-05-24
449,-0.4182,2018-05-25
450,-0.655,2018-05-26
451,-0.1706,2018-05-27
452,-0.7402,2018-05-28
453,-0.3411,2018-05-29
454,-0.0866,2018-05-30
455,0.4662,2018-05-31
456,0.3836,2018-06-01
457,0.4681,2018-06-02
458,-0.2555,2018-06-03
459,-0.2462,2018-06-04
460,-0.2206,2018-06-05
461,0.2386,2018-06-06
462,-0.0505,2018-06-07
463,0.2052,2018-06-08
464,0.6732,2018-06-09
465,-0.355,2018-06-10
466,-0.9971,2018-06-11
467,0.1311,2018-06-12
468,-0.5331,2018-06-13
469,-0.1448,2018-06-14
470,0.3211,2018-06-15
471,0.5244,2018-06-16
472,0.3544,2018-06-17
473,-0.1819,2018-06-18
474,-0.0566,2018-06-19
475,-1.334,2018-06-20
476,-0.007,2018-06-21
477,-0.5643,2018-06-22
478,-0.2842,2018-06-23
479,-0.0918,2018-06-24
480,-0.2077,2018-06-25
481,0.0223,2018-06-26
482,-0.427,2018-06-27
483,-0.8579,2018-06-28
484,-1.0885,2018-06-29
485,-0.3626,2018-06-30
486,0.2535,2018-07-01
487,0.3053,2018-07-02
488,0.1988,2018-07-03
489,-0.6889,2018-07-04
490,0.1097,2018-07-05
491,-0.0572,2018-07-06
492,0.2725,2018-07-07
493,0.4967,2018-07-08
494,0.0518,2018-07-09
495,-0.1357,2018-07-10
496,0.1316,2018-07-11
497,0.0147,2018-07-12
498,-1.4859,2018-07-13
499,-2.6771,2018-07-14
500,-1.4307,2018-07-15
501,-1.6323,2018-07-16
502,-0.778,2018-07-17
503,-0.415,2018-07-18
504,-0.1607,2018-07-19
505,-0.4865,2018-07-20
506,-0.2909,2018-07-21
507,-0.1079,2018-07-22
508,-0.1836,2018-07-23
509,-0.1207,2018-07-24
510,-0.7249,2018-07-25
511,-1.4322,2018-07-26
512,-0.6437,2018-07-27
513,-0.8628,2018-07-28
514,-0.4085,2018-07-29
515,-1.1747,2018-07-30
516,-1.6075,2018-07-31
517,-0.7399,2018-08-01
518,-0.8699,2018-08-02
519,0.2999,2018-08-03
520,0.2687,2018-08-04
521,0.2751,2018-08-05
522,0.17,2018-08-06
523,0.1713,2018-08-07
524,-0.0227,2018-08-08
525,0.4284,2018-08-09
526,0.1554,2018-08-10
527,-0.2614,2018-08-11
528,0.3107,2018-08-12
529,-0.1325,2018-08-13
530,-0.2526,2018-08-14
531,-0.5098,2018-08-15
532,-0.1361,2018-08-16
533,-0.1724,2018-08-17
534,-0.9948,2018-08-18
535,-1.51,2018-08-19
536,-2.0737,2018-08-20
537,-1.7105,2018-08-21
538,-0.5245,2018-08-22
539,-0.8249,2018-08-23
540,-0.7892,2018-08-24
541,-0.5129,2018-08-25
542,-0.0559,2018-08-26
543,-0.56,2018-08-27
544,0.023,2018-08-28
545,-0.0104,2018-08-29
546,-0.2515,2018-08-30
547,0.1476,2018-08-31
548,0.2512,2018-09-01
549,0.1697,2018-09-02
550,0.2733,2018-09-03
551,0.0981,2018-09-04
552,-0.0887,2018-09-05
553,-0.6015,2018-09-06
554,-0.3338,2018-09-07
555,-1.6309,2018-09-08
556,-0.4544,2018-09-09
557,-0.063,2018-09-10
558,-0.1813,2018-09-11
559,-0.1499,2018-09-12
560,0.122,2018-09-13
561,-0.6,2018-09-14
562,-0.0793,2018-09-15
563,-0.4149,2018-09-16
564,0.0259,2018-09-17
565,-0.1835,2018-09-18
566,-1.111,2018-09-19
567,-1.6325,2018-09-20
568,-0.7137,2018-09-21
569,0.0053,2018-09-22
570,-0.0642,2018-09-23
571,0.2591,2018-09-24
572,0.0728,2018-09-25
573,-0.5506,2018-09-26
574,0.257,2018-09-27
575,0.1503,2018-09-28
576,0.1458,2018-09-29
577,-0.3546,2018-09-30
578,0.1975,2018-10-01
579,0.1866,2018-10-02
580,-0.4825,2018-10-03
581,-0.6947,2018-10-04
582,-0.1053,2018-10-05
583,-0.0607,2018-10-06
584,0.2199,2018-10-07
585,0.0762,2018-10-08
586,-0.1522,2018-10-09
587,0.0759,2018-10-10
588,-0.3813,2018-10-11
589,-0.3141,2018-10-12
590,0.0643,2018-10-13
591,-0.0576,2018-10-14
592,0.043,2018-10-15
593,0.1755,2018-10-16
594,0.3476,2018-10-17
595,-0.0592,2018-10-18
596,-0.9263,2018-10-19
597,-0.2394,2018-10-20
598,0.2156,2018-10-21
599,0.339,2018-10-22
600,0.0952,2018-10-23
601,0.079,2018-10-24
602,-0.2937,2018-10-25
603,-0.1171,2018-10-26
604,-0.1454,2018-10-27
605,0.4616,2018-10-28
606,-0.5198,2018-10-29
607,-0.472,2018-10-30
608,0.0772,2018-10-31
609,-0.0033,2018-11-01
610,-0.1091,2018-11-02
611,-0.141,2018-11-03
612,0.1869,2018-11-04
613,0.3076,2018-11-05
614,0.1069,2018-11-06
615,0.2087,2018-11-07
616,0.0927,2018-11-08
617,-1.1364,2018-11-09
618,-0.1439,2018-11-10
619,0.1031,2018-11-11
620,0.0308,2018-11-12
621,-0.8162,2018-11-13
622,-0.803,2018-11-14
623,-0.6193,2018-11-15
624,-1.4954,2018-11-16
625,-0.4148,2018-11-17
626,-0.1865,2018-11-18
627,-1.8025,2018-11-19
628,-1.3741,2018-11-20
629,-0.7864,2018-11-21
630,-0.3419,2018-11-22
631,-0.7627,2018-11-23
632,-0.0942,2018-11-24
633,-0.2916,2018-11-25
634,-0.5899,2018-11-26
635,-0.3946,2018-11-27
