index,Date,Open_btc,High_btc,Low_btc,Close_btc,Adj Close_btc,Volume_btc,Open_gold,High_gold,Low_gold,Close_gold,Adj Close_gold,Volume_gold,Open_oil,High_oil,Low_oil,Close_oil,Adj Close_oil,Volume_oil,Open_sp500,High_sp500,Low_sp500,Close_sp500,Adj Close_sp500,Volume_sp500,sentiment_score,Weekday
0,2017-03-02,1224.6800537109375,1262.1300048828125,1215.6199951171875,1251.010009765625,1251.010009765625,368275008,1247.199951171875,1247.5999755859375,1230.699951171875,1231.9000244140625,1231.9000244140625,79.0,53.689998626708984,53.79999923706055,52.540000915527344,52.61000061035156,52.61000061035156,638390.0,2394.75,2394.75,2380.169921875,2381.919921875,2381.919921875,3824030000.0,0.125,Thursday
1,2017-03-03,1250.7099609375,1280.31005859375,1250.7099609375,1274.989990234375,1274.989990234375,315739008,1231.699951171875,1235.199951171875,1222.9000244140625,1225.5,1225.5,121.0,52.58000183105469,53.38999938964844,52.54999923706055,53.33000183105469,53.33000183105469,436360.0,2380.919921875,2383.889892578125,2375.389892578125,2383.1201171875,2383.1201171875,3556670000.0,-0.009,Friday
2,2017-03-04,1277.4300537109375,1279.4000244140625,1230.510009765625,1255.1500244140625,1255.1500244140625,183270000,1231.699951171875,1235.199951171875,1222.9000244140625,1225.5,1225.5,121.0,52.58000183105469,53.38999938964844,52.54999923706055,53.33000183105469,53.33000183105469,436360.0,2380.919921875,2383.889892578125,2375.389892578125,2383.1201171875,2383.1201171875,3556670000.0,-0.3832,Saturday
3,2017-03-05,1254.2900390625,1267.2900390625,1238.06005859375,1267.1199951171875,1267.1199951171875,134127000,1231.699951171875,1235.199951171875,1222.9000244140625,1225.5,1225.5,121.0,52.58000183105469,53.38999938964844,52.54999923706055,53.33000183105469,53.33000183105469,436360.0,2380.919921875,2383.889892578125,2375.389892578125,2383.1201171875,2383.1201171875,3556670000.0,0.1771,Sunday
4,2017-03-06,1267.469970703125,1276.0,1264.5999755859375,1272.8299560546875,1272.8299560546875,153656992,1235.199951171875,1235.199951171875,1224.5,1224.5,1224.5,29.0,53.189998626708984,53.560001373291016,52.7599983215332,53.20000076293945,53.20000076293945,503692.0,2375.22998046875,2378.800048828125,2367.97998046875,2375.31005859375,2375.31005859375,3251800000.0,-0.1986,Monday
5,2017-03-07,1273.2099609375,1275.550048828125,1204.800048828125,1223.5400390625,1223.5400390625,291256000,1224.300048828125,1225.4000244140625,1213.699951171875,1215.0999755859375,1215.0999755859375,53.0,53.16999816894531,53.79999923706055,52.709999084472656,53.13999938964844,53.13999938964844,494677.0,2370.739990234375,2375.1201171875,2365.510009765625,2368.389892578125,2368.389892578125,3526300000.0,0.2893,Tuesday
6,2017-03-08,1223.22998046875,1232.1600341796875,1148.0799560546875,1150.0,1150.0,332603008,1212.199951171875,1212.199951171875,1206.699951171875,1208.5,1208.5,24.0,52.790000915527344,52.91999816894531,50.04999923706055,50.279998779296875,50.279998779296875,963392.0,2369.81005859375,2373.090087890625,2361.010009765625,2362.97998046875,2362.97998046875,3814080000.0,-0.4378,Wednesday
7,2017-03-09,1150.3499755859375,1197.4599609375,1141.22998046875,1188.489990234375,1188.489990234375,212283008,1204.5,1205.5999755859375,1202.300048828125,1202.4000244140625,1202.4000244140625,37.0,50.220001220703125,50.84000015258789,48.59000015258789,49.279998779296875,49.279998779296875,1073506.0,2363.489990234375,2369.080078125,2354.5400390625,2364.8701171875,2364.8701171875,3718450000.0,0.0678,Thursday
8,2017-03-10,1189.3599853515625,1270.469970703125,1077.25,1116.719970703125,1116.719970703125,563795968,1196.199951171875,1203.300048828125,1196.199951171875,1200.699951171875,1200.699951171875,3.0,49.61000061035156,50.11000061035156,48.310001373291016,48.4900016784668,48.4900016784668,796960.0,2372.52001953125,2376.860107421875,2363.0400390625,2372.60009765625,2372.60009765625,3434400000.0,-0.7038,Friday
9,2017-03-11,1116.3199462890625,1193.8299560546875,1116.3199462890625,1175.8299560546875,1175.8299560546875,283320000,1196.199951171875,1203.300048828125,1196.199951171875,1200.699951171875,1200.699951171875,3.0,49.61000061035156,50.11000061035156,48.310001373291016,48.4900016784668,48.4900016784668,796960.0,2372.52001953125,2376.860107421875,2363.0400390625,2372.60009765625,2372.60009765625,3434400000.0,-0.9453,Saturday
